id,name,description
1,新鲜草莓 500g,当季新鲜草莓，现摘现发，香甜多汁
2,有机苹果 5kg,红富士苹果，脆甜可口，有机认证
3,进口车厘子 2kg,智利进口车厘子，果大肉厚，新鲜直达
4,新鲜蔬菜组合,时令蔬菜组合，包含 6 种常见蔬菜
5,海鲜大礼包,包含大虾、扇贝、鱿鱼等海鲜
6,智能手机 128GB,高性能处理器，超清摄像头，长续航
7,无线蓝牙耳机,主动降噪，超长续航，舒适佩戴
8,智能手表,心率监测，运动追踪，超长待机
9,平板电脑 10 英寸,高清大屏，轻薄便携，办公娱乐两不误
10,便携式充电宝 20000mAh,大容量，快充，支持多设备同时充电
11,专业跑步鞋,透气轻便，缓震舒适，适合长跑
12,瑜伽垫加厚款,环保材质，防滑耐用，适合各种瑜伽动作
13,登山包 50L,大容量，防水耐磨，户外登山必备
14,速干运动套装,速干透气，弹力舒适，适合多种运动
15,哑铃套装 20kg,可调节重量，适合家庭健身
16,保湿补水面膜 10 片装,深层补水，提亮肤色，温和不刺激
17,氨基酸洗面奶,温和清洁，不紧绷，适合敏感肌
18,精华液 30ml,紧致抗皱，淡化细纹，焕发肌肤活力
19,防晒霜 SPF50+,高倍防晒，清爽不油腻，防水防汗
20,口红套装 6 支装,经典色号，持久显色，滋润不拔干 
21,260g重磅纯棉圆领T恤 纯色打底,专为夏季男士设计，采用260g/㎡高克重新疆长绒棉，面料厚实挺括，不透肉、不激凸，单穿也有型。经过液氨整理工艺处理，表面光洁平整，具有免烫抗皱特性，机洗不易变形。领口采用加厚罗纹螺纹，久穿不松垮变形。微落肩宽松版型，遮肉显瘦，适合各种身材。吸湿排汗性能优异，即使在35度高温天气下也不粘身，是夏季通勤、休闲百搭的必备单品。
22,冰丝速干休闲裤 弹力直筒,采用高品质聚酯纤维混纺面料，触感冰凉顺滑，自带凉感，非常适合炎热夏季穿着。面料具有四面弹力，下蹲、跑步无紧绷感，活动自如。立体剪裁，3D立体膝盖设计，符合人体工学。腰部采用高弹力松紧带+抽绳设计，包容性强，不勒肚子。裤脚束口设计，防风防蚊，也可两穿。抗起球、防静电处理，久坐办公室或户外运动皆宜，易洗快干，是商务休闲两用的理想选择。
23,长袖牛津纺衬衫 商务休闲,经典美式牛津纺面料，质地柔软透气，具有独特的颗粒感纹理，复古且耐看。经过水洗预缩处理，到手尺寸稳定。胸前双口袋设计，增加工装风格。领尖配有领撑插槽，保持领口挺立有型。袖口双纽扣设计，可调节松紧。修身版型，剪裁利落，无论是搭配西裤通勤上班，还是搭配牛仔裤周末出游，都能展现绅士风度。易打理，轻微褶皱挂烫即可恢复平整。
24,汽车玻璃水 -25℃防冻型 2L*4瓶,专为寒冷地区设计，冰点低至-25℃，冬季使用不结冰，保护雨刮水壶和管路。采用去离子水配方，不含杂质，不堵塞喷嘴。添加强力去油膜因子，能有效去除挡风玻璃上的汽车尾气油膜、树胶和鸟粪，视野更清晰。含有润滑成分，减少雨刮胶条磨损，防止玻璃产生划痕。蓝色液体，一目了然。四季通用，是车主日常保养的消耗品。
25,4K超高清行车记录仪 前后双摄,搭载索尼IMX678传感器，支持真4K分辨率录制，画质清晰细腻，车牌细节一览无余。前后双镜头设计，同时记录车头和车尾路况，防止碰瓷。内置GPS模块，可记录行车轨迹和速度。支持24小时停车监控，缩时录影功能，停车被撞也能自动抓拍。内置5G Wi-Fi，手机APP直连，无需拔卡即可下载视频分享。广角150度镜头，覆盖三车道，无畸变。大光圈设计，夜间微光也能拍得清楚，是新手司机的安全保障。
26,车载空气净化器 除甲醛异味,采用HEPA H13级滤网，过滤精度达0.3微米，有效拦截PM2.5、花粉和灰尘。内置高碘值活性炭层，强力吸附车内甲醛、苯等有害气体及烟味。负离子发生器，每秒释放500万个负离子，沉降悬浮颗粒，清新空气。小巧机身，不占中控台空间，USB供电，静音运行，不打扰驾驶和休息。适合新车除味、烟民及过敏体质人群使用，呵护车内呼吸健康。
27,混合猫砂 除臭无尘 6L,科学配比70%豆腐砂+30%膨润土，结合两者优点。豆腐砂成分可冲入马桶，环保不堵塞；膨润土增强结团紧实度，3秒快速结团。添加活性炭除臭因子，有效吸附氨气味，保持室内空气清新。6道除尘工艺，几乎无粉尘，保护猫咪和主人的呼吸道健康。奶香味自然，猫咪喜爱，适合全阶段猫咪使用。
28,全价无谷鲜肉狗粮 中大型犬,含70%鲜鸡肉和脱水鸡肉粉，动物蛋白含量丰富，易消化吸收，长肉不虚胖。0谷物0豆类0诱食剂，低敏配方，减少狗狗软便拉稀风险。特别添加3%深海鱼油，富含Omega-3，美毛亮肤，减少掉毛。内置活性益生菌和丝兰提取物，调理肠胃，降低便便臭味。颗粒大小适中，硬度适中，帮助狗狗咀嚼磨牙，营养均衡全面。
29,宠物专用杀菌除臭沐浴露 500ml,专为宠物皮肤酸碱度设计，弱酸性配方，不伤皮肤保护层。含茶树精油和芦荟提取物，具有天然杀菌止痒功效，预防皮肤病和皮屑。去污力强，能深层清洁毛发污垢，分解异味而非掩盖异味。泡沫细腻易冲洗，洗后毛发蓬松顺滑不打结，留香持久。适用于猫狗通用，是保持爱宠清洁健康的日常护理用品。
30,水杨酸棉片 去黑头闭口 55片,专为油痘肌和粗糙肌肤设计。含0.5%水杨酸成分，能有效溶解毛孔内堆积的油脂和老废角质，温和疏通毛孔，改善黑头、闭口和粉刺问题。添加积雪草提取物和透明质酸，在刷酸的同时舒缓镇静，补水保湿，减少刺激感。双面纹理设计，珍珠纹面擦拭T区、鼻翼等油脂旺盛部位，平滑面湿敷脸颊，一物多用。不含酒精色素，适合新手建立耐受，是深层清洁和细腻肌肤的必备神器。
31,玻色因修护面霜 50ml,主打高浓度玻色因Pro成分，能促进胶原蛋白生成，紧致肌肤，淡化面部细纹和干纹，提升面部轮廓。复配神经酰胺NP和角鲨烷，强韧皮肤屏障，深层锁水保湿，改善换季泛红和干燥起皮。质地如冰淇淋般绵密，触肤即融，润而不油，吸收快不闷痘。早晚皆可使用，适合25岁以上有抗初老需求、皮肤松弛或缺水的各类肤质，尤其适合干性及混合性肌肤。
32,美白身体乳 400ml 烟酰胺,蕴含5%高纯度烟酰胺和熊果苷，双重美白成分协同作用，有效抑制黑色素生成，改善肤色暗沉，提亮全身肌肤。添加果酸成分，温和剥脱老废角质，平滑鸡皮肤和背部痘痘。质地轻薄水润，延展性好，涂抹后清爽不粘腻，不沾衣物。带有淡淡的水蜜桃清香，留香持久。适合夏季晒后修复、秋冬干燥护理，坚持使用让肌肤白嫩透亮，适合约会、婚礼等重要场合前的密集护理。
33,壳牌防冻玻璃水 -25℃ 2L,壳牌正品防冻型汽车玻璃水，冰点-25℃，冬季不结冰，夏季不沸溢。采用去离子水配方，添加环保型清洁因子，能快速溶解挡风玻璃上的虫渍、树脂、鸟粪等顽固污渍，不留水痕。pH值中性，不伤橡胶密封条和雨刮器胶条。2L大容量瓶装，性价比高，适用于四季通用，尤其适合北方寒冷地区冬季使用。通过国际ISO9001质量认证，品质有保障。
34,3M高效润滑玻璃水 1.5L,3M高效润滑型汽车玻璃水，含独特润滑配方，喷洒后在玻璃表面形成均匀水膜，雨刮器刮刷更顺滑，减少摩擦异响。高效去污因子快速分解油膜、灰尘和昆虫残留，清洁后玻璃透亮如新。不含甲醇，使用安全，对人体无害。1.5L精致瓶口设计，方便加注不洒漏。适合全年使用，尤其适合南方多雨地区，雨天驾驶视野更清晰。3M品质保证，全球车品销量领先品牌。
35,百适通玻璃水 防雨驱水型,百适通（Prestone）防雨驱水型玻璃水，添加纳米疏水涂层技术，喷洒后雨水接触玻璃自动形成水珠滚落，时速60km/h以上几乎不需要开雨刮，大幅提升雨天行车安全。深层清洁配方，有效去除油膜和顽固污渍。防冻冰点-10℃，适合华东、华南地区四季使用。美国品牌，全球超过100年汽车养护经验，品质值得信赖。
36,长城喜世玻璃水 清洁型 2L,中国石化长城喜世清洁型汽车玻璃水，国产大品牌，性价比之王。采用纯净水基配方，添加高效表面活性剂，一喷即净，快速溶解虫渍、树胶、鸟粪。温和无刺激，对雨刮器胶条、橡胶密封件无腐蚀。透明瓶身设计，用量一目了然。冰点0℃，适合南方地区全年使用。通过国家质量检测，100%国货精品。适合追求实惠、日常通勤的车主。
37,固特威防冻玻璃水 -35℃ 2L,固特威极寒防冻型汽车玻璃水，冰点低至-35℃，专为东北、西北等极寒地区设计。即使在零下30℃的严寒环境中也不会结冰，确保冬季正常使用喷水功能。添加防锈因子，保护喷水管路不生锈。高效清洁配方，快速去除冰雪覆盖后的盐渍和泥污。2L环保塑料瓶，耐低温不脆裂。国产品牌，电商汽车用品销量TOP榜常客，累计销量超过50万瓶。
38,珂润润浸保湿面霜 40g,日本花王旗下珂润润浸保湿面霜，专为敏感肌和干燥肌研发。核心成分神经酰胺功能成分（Ceramide），能深入渗透角质层，从内部修复皮肤屏障，增强肌肤自身保湿能力。添加桉叶精华，镇静舒缓泛红敏感。质地绵密丝滑，像奶油一样轻盈，涂抹后迅速吸收，不油腻不搓泥。无香料、无色素、无酒精，通过皮肤科医生敏感性测试。40g小巧便携，适合随身携带随时补涂。日本原装进口，敏感肌首选面霜。
39,薇诺娜舒敏保湿特护霜 50g,薇诺娜舒敏保湿特护霜，国内皮肤科医生推荐品牌，专为问题肌肤设计。核心成分马齿苋提取物和青刺果油，双重舒缓泛红、刺痛、干痒等敏感症状。专利保湿配方，大分子透明质酸锁水+小分子透明质酸深层补水，内外双重保湿。质地介于乳液和面霜之间，轻薄好推开，不闷痘不油腻。通过国家药品监督管理局特殊化妆品备案，属于功效性护肤品。50g大容量，性价比高。适合换季敏感、医美术后修复、日常维稳使用。
40,凡士林倍护保湿面霜 200ml,联合利华旗下凡士林倍护保湿面霜，经典国民品牌，性价比极高。核心成分微凝晶冻（凡士林晶冻），能在肌肤表面形成保护膜，有效锁住水分，防止水分流失。添加维生素E和甘油，滋养干燥肌肤，改善粗糙脱皮。质地丰厚滋润，适合干性和极干性肌肤。200ml超大容量，全家可用，身体和面部都能涂。淡淡的清香，不刺鼻。美国百年品牌，全球皮肤科医生推荐的保湿基础款。适合秋冬季节全身保湿。
41,兰蔻菁纯面霜 60ml,兰蔻菁纯面霜，法国高端护肤品牌旗舰产品。核心成分高浓度Pro-Xylane™（玻色因），能深入真皮层促进胶原蛋白和弹性蛋白生成，由内而外紧致肌肤、淡化深层皱纹。添加蜂蜜精华和杏仁油，滋养修护肌肤屏障。质地如丝绸般细腻柔滑，上脸即化，瞬间被肌肤吸收，零负担感。玫瑰花香淡雅高级，每次使用都是享受。60ml奢华包装，附赠小勺方便取用。适合25岁以上抗初老、抗皱紧致需求，是送给妈妈或自己犒赏的首选。
42,欧莱雅玻尿酸水润面霜 50ml,欧莱雅复颜玻尿酸水润充盈面霜，大众轻奢护肤之选。核心成分高浓度玻尿酸（透明质酸），大分子玻尿酸在皮肤表面形成保湿膜，小分子玻尿酸深入真皮层补水，三重玻尿酸立体保湿。添加积雪草修护精华，舒缓维稳。质地水润清爽，像果冻一样Q弹，上脸凉凉的很舒服，适合混合性和油性肌肤。法国欧莱雅集团研发中心出品，全球销量领先的护肤品牌。50ml日常用量约2个月，性价比突出。
43,雪貂留香宠物沐浴露 500ml,雪貂留香宠物沐浴露，电商宠物洗护销量冠军。采用植物基配方，含椰油酰胺丙基甜菜碱温和表活，深层清洁毛发污垢的同时不破坏皮肤天然油脂屏障。添加貂油精华和维生素E，洗后毛发蓬松柔软有光泽，持久留香72小时。PH值中性（6.5-7.5），猫狗通用。500ml大容量，泡沫丰富，每次只需少量即可全身清洗。适合日常清洁护理，是养宠家庭的必备洗护用品。
44,小佩宠物除菌沐浴露 480ml,小佩（PETKIT）宠物抑菌除菌沐浴露，专注宠物健康洗护。核心成分茶树精油和银离子抑菌因子，能有效抑制大肠杆菌、金黄色葡萄球菌等常见菌群，预防皮肤感染和真菌滋生。添加芦荟提取物和洋甘菊精华，舒缓皮肤炎症，适合有皮肤问题的宠物。低泡易冲洗，减少残留。PH值贴近宠物皮肤（7.0-7.5），猫犬通用。480ml泵头设计，单手操作方便。小佩智能宠物用品品牌出品，品质值得信赖。
45,伊珊娜宠物护理沐浴露 250ml,意大利伊珊娜（ISB）专业宠物护理沐浴露，专业宠物美容师推荐品牌。采用氨基酸温和配方，接近宠物皮肤天然PH值，清洁不伤皮毛。含水解丝蛋白和橄榄油精华，深层滋养毛发，改善毛发干枯、打结、无光泽问题。洗后毛发顺滑如丝，手感极佳。独特淡雅花香，留香持久但不刺鼻。250ml专业级浓缩配方，少量即可产生丰富泡沫。适合长毛犬种和对毛发护理有高要求的宠物主人。意大利原装进口，欧洲宠物洗护知名品牌。
46,狮王宠物免洗泡沫沐浴露 300ml,日本狮王（LION）宠物免洗泡沫沐浴露，懒人养宠神器。无需水洗，按压出绵密泡沫，直接涂抹在宠物毛发上揉搓后用毛巾擦干即可。添加植物性清洁成分和除臭因子，快速去除体味和污垢，5分钟完成清洁。含透明质酸和角鲨烷，清洁同时滋润皮肤和毛发。特别适合不方便水洗的场景：冬天怕感冒、老年宠物行动不便、外出旅行、术后恢复期。300ml便携瓶装，日本原装进口，狮王百年日化品质保证。
47,麻辣洗宠物药浴沐浴露 500ml,麻辣洗（Malaseb）宠物药用沐浴露，兽医推荐的专业治疗型洗护产品。含2%氯己定（洗必泰）和2%咪康唑，双重抗菌抗真菌，有效治疗和预防犬猫皮肤真菌感染（癣）、脂溢性皮炎、细菌性皮肤炎等皮肤问题。使用方法：湿润毛发后涂抹全身，按摩5-10分钟后冲洗，每周2-3次，连续使用4-8周。500ml大容量，治疗期间用量较大。澳洲原装进口，全球兽医诊所信赖品牌。请在兽医指导下使用。
